Kategorie	Mapping nach	Mapping von 1	Mapping von 2	Mapping von 3	usw. ...																							
Technologie	Alpha OpenVMS	Alpha OpenVMS																										
Technologie	Altera	Altera	Alterra FPGA																									
Technologie	Altium	Altium	Altium Designer																									
Technologie	Anbindung Vodafone Life (Chat Plattform)	Anbindung Vodafone Life (Chat Plattform)																										
Technologie	AndroMDA	AndroMDA																										
Technologie	ANSYS	ANSYS																										
Technologie	Antriebstechnik	Antriebstechnik																										
Technologie	Apache	Apache	Apache Axis	Apache Axis 2	Apache ServiceMix	Apache tomcat																						
Technologie	Architektur	Architektur																										
Technologie	ARM9	ARM9																										
Technologie	Artisan	Artisan																										
Technologie	ASP	ASP	ASP .NET																									
Technologie	AUS	AUS																										
Technologie	Axapta	Axapta																										
Technologie	Barcode4J	Barcode4J																										
Technologie	BEA	BEA	BEAWebLogic																									
Technologie	Benutzerorientiertes Design	Benutzerorientiertes Design																										
Technologie	Beratung Managementsystem	Beratung Managementsystem																										
Technologie	BizTalk	BizTalk																										
Technologie	BlazeDS	BlazeDS																										
Technologie	Bluetooth	Bluetooth																										
Technologie	BPMN	BPMN																										
Technologie	Broadband Delphi	Broadband Delphi																										
Technologie	Business Case	Business Case																										
Technologie	Business Modeling	Business Modeling																										
Technologie	C#	C#																										
Technologie	C++	C++	Boost	boost	cppunit	Crypto++	Rhapsody in C++																					
Technologie	CAD - ProE	CAD - ProE																										
Technologie	CAN Bus	CAN Bus																										
Technologie	CAN Interface	CAN Interface																										
Technologie	Case Tools	Case Tools																										
Technologie	Cash-Terminal	Cash-Terminal																										
Technologie	CMM Level 3	CMM Level 3																										
Technologie	Coaching	Coaching																										
Technologie	Codesoft	Codesoft																										
Technologie	CodeWright	CodeWright																										
Technologie	COHERENCE	COHERENCE																										
Technologie	COM/DNA	COM/DNA																										
Technologie	Commerce Server	Commerce Server																										
Technologie	CompactRio	CompactRio																										
Technologie	CORBA	CORBA																										
Technologie	CRM-System	CRM-System																										
Technologie	Crossover-Engineering	Crossover-Engineering																										
Technologie	CruiseControl	CruiseControl																										
Technologie	CRYSTAL	CRYSTAL																										
Technologie	Crystal Reports	Crystal Reports																										
Technologie	Data Junction	Data Junction																										
Technologie	DataMan	DataMan																										
Technologie	DB2	DB2																										
Technologie	DBUnit	DBUnit																										
Technologie	Derby	Derby																										
Technologie	DevExpress Layout Control	DevExpress Layout Control																										
Technologie	Digital Engineering	Digital Engineering																										
Technologie	Dimensionierungswerkzeug	Dimensionierungswerkzeug																										
Technologie	DirectX	DirectX																										
Technologie	DIS	DIS																										
Technologie	DSP	DSP																										
Technologie	e-Tender	e-Tender																										
Technologie	EAI	EAI																										
Technologie	EasyRide	EasyRide																										
Technologie	Eclipse	Eclipse	Eclipse CDT																									
Technologie	Embedded	Embedded	embedded Linux für Videokonferenzen	Mobile Lösungen																								
Technologie	EMV	EMV																										
Technologie	Energy Efficiency	Energy Efficiency																										
Technologie	Enterprise Application	Enterprise Application																										
Technologie	Enterprise Architect	Enterprise Architect																										
Technologie	Enterprise Modeling	Enterprise Modeling																										
Technologie	EntityBeans	EntityBeans	EJB																									
Technologie	Entw. Bedien- und Steuerungssoftware	Entw. Bedien- und Steuerungssoftware																										
Technologie	Entwicklung Gateway	Entwicklung Gateway																										
Technologie	Entwicklungsprozess RUP	Entwicklungsprozess RUP																										
Technologie	Erfassung der Fahrdaten der Passagiere	Erfassung der Fahrdaten der Passagiere																										
Technologie	erste ortsungebundene Dosierung auf dem Markt	erste ortsungebundene Dosierung auf dem Markt																										
Technologie	Ethereal	Ethereal																										
Technologie	Expression Blend	Expression Blend																										
Technologie	Extrem Optimizations	Extrem Optimizations																										
Technologie	Facelets	Facelets																										
Technologie	FDA	FDA																										
Technologie	Fehlerbehebung	Fehlerbehebung																										
Technologie	Feinmechanik	Feinmechanik																										
Technologie	FEM Analyse	FEM Analyse																										
Technologie	FieldLink Prototype	FieldLink Prototype																										
Technologie	FireWire	FireWire																										
Technologie	Fit	Fit																										
Technologie	Fixpoint Blockset	Fixpoint Blockset																										
Technologie	Fixpreis	Fixpreis																										
Technologie	Flow Simulation (Solid Works)	Flow Simulation (Solid Works)																										
Technologie	FMEA	FMEA																										
Technologie	FPGA	FPGA																										
Technologie	FRED	FRED																										
Technologie	Front-/Backoffice-Systeme	Front-/Backoffice-Systeme																										
Technologie	Functional Specs	Functional Specs																										
Technologie	Funktionskostenanalyse	Funktionskostenanalyse																										
Technologie	Gigasoft ProEssentials	Gigasoft ProEssentials																										
Technologie	Goldfire	Goldfire																										
Technologie	GOOP	GOOP																										
Technologie	GU-Auftrag A-Z	GU-Auftrag A-Z																										
Technologie	GxP	GxP																										
Technologie	HDL-Designer	HDL-Designer																										
Technologie	HTML	HTML																										
Technologie	IAR Embedded Workbench	IAR Embedded Workbench																										
Technologie	IBM Websphere	IBM Websphere	IBM WebSphere MQ	IBM Websphere MQ																								
Technologie	IIS	IIS																										
Technologie	Infragistics	Infragistics																										
Technologie	Innovations- und Technologiemanagement	Innovations- und Technologiemanagement																										
Technologie	Integration Acquirer System in die ep2 Umgebung	Integration Acquirer System in die ep2 Umgebung																										
Technologie	internes Camp	internes Camp	internes Camp LabView																									
Technologie	Internetapplikation für Management-Kennzahlen	Internetapplikation für Management-Kennzahlen																										
Technologie	IONA Artix	IONA Artix																										
Technologie	iText	iText																										
Technologie	ITIL	ITIL																										
Technologie	Ivy	Ivy																										
Technologie	Java	Java	Java EE	Java Enterprise Edition	Java SE	Java Standard Edition	Java Servlet	Java-Servlets	Java Swing	Ant	Hibernate	GWT	Tomcat	Tamcat	JUnit	JUnitEE	JSF	JSP	JBoss	JBos	JBuilder	JDBC	Lgo4J	Log4J	Struts	Spring	J2EE	J2SE
Technologie	Java Script	Java Script																										
Technologie	JAX-WS	JAX-WS																										
Technologie	JAXB	JAXB																										
Technologie	Jenkins	Jenkins	Hudson																									
Technologie	JGroups	JGroups																										
Technologie	JMS	JMS																										
Technologie	Jython/Python	Jython/Python	Jyton																									
Technologie	KDevelop	KDevelop																										
Technologie	Konzept	Konzept																										
Technologie	Konzeptstudie	Konzeptstudie																										
Technologie	Koogra	Koogra																										
Technologie	Kostenreduktion	Kostenreduktion																										
Technologie	Laborautomation	Laborautomation																										
Technologie	LabVIEW	LabVIEW	LabVIEW FPGA																									
Technologie	LDAP	LDAP																										
Technologie	LINT	LINT																										
Technologie	Lint	Lint																										
Technologie	Linux	Linux																										
Technologie	Log4Net	Log4Net																										
Technologie	Macrovision InstallShield	Macrovision InstallShield																										
Technologie	MaCs	MaCs																										
Technologie	Magicdraw UML	Magicdraw UML	Magic Draw	MagicDraw																								
Technologie	Mantis	Mantis																										
Technologie	Mathcad	Mathcad	MathCAC	MathCad																								
Technologie	Matlab	Matlab																										
Technologie	Maven	Maven																										
Technologie	MAX+	MAX+																										
Technologie	Microprocessors	Microprocessors	Microprocessors/FPGA																									
Technologie	Mikrotechnik	Mikrotechnik																										
Technologie	Model-Based Design	Model-Based Design																										
Technologie	Modellierung: Artisan	Modellierung: Artisan																										
Technologie	ModelSim	ModelSim																										
Technologie	Moldflow Plastic Advisor	Moldflow Plastic Advisor																										
Technologie	MQ	MQ																										
Technologie	MS Access	MS Access																										
Technologie	MS Excel	MS Excel																										
Technologie	MS Project	MS Project																										
Technologie	MS SourceSafe	MS SourceSafe																										
Technologie	MS SQL	MS SQL																										
Technologie	MS Team System	MS Team System																										
Technologie	MS Visual Source Safe	MS Visual Source Safe																										
Technologie	MS Word	MS Word																										
Technologie	MSYS/PEP	MSYS/PEP																										
Technologie	MTM-Prokon	MTM-Prokon																										
Technologie	MTM-UAS	MTM-UAS																										
Technologie	MySQL	MySQL																										
Technologie	Nachweis von Antikörper	Nachweis von Antikörper																										
Technologie	nAnt	nAnt																										
Technologie	nDoc	nDoc																										
Technologie	NetAdvant	NetAdvant																										
Technologie	neutrale Expertise	neutrale Expertise																										
Technologie	Nexus	Nexus																										
Technologie	nUnit	nUnit																										
Technologie	OE	OE																										
Technologie	OLE	OLE																										
Technologie	OO	OO																										
Technologie	openArchitectureWare	openArchitectureWare																										
Technologie	OptiCad	OptiCad																										
Technologie	Optics	Optics																										
Technologie	Optimierung ERP	Optimierung ERP	optimierung ERP	Optimierung Organisation																								
