No.;PN Title;Content;Sector;Customer;Focus;Services;Technology;Application;Tools;Published;Presentation;Author;Name;Project;Modified By;Modified;Item Type;Path
582;Projektmanagement beim Umzug der Flugsicherung;"Projektleiter von ZÅhlke koordinieren die 
Zusammenarbeit mehrerer Teams, die den Umzug der Flugsicherung an einen neuen Standort vorbereiten. Know-how und Erfahrung der ZÅhlke Experten entlasten das Management des Kunden.";Transportation & Logistics;Skyguide;Software Solutions;"Consulting;#_ Methodology;#__ Project management";;Information Systems;"MS Excel;#MS Project; TimeWinner";10.06.2010;;gse/rma;pn_582_d_flugsicherung-projektmanagement_zrh.pdf;C12102;Martin, Elisabeth;17.06.2010 13:53;Item;services/bd/pn/Project Notes published
581;End 2 End Transparenz dank Webservice Barcode;ZÅhlke entwickelt mit dem Webservice Barcode in kurzer Zeit eine hochflexible AdresstrÑger-Generierungsplattform. Diese trÑgt dazu bei, die Supply Chain bei der Schweizerischen Post und deren Kunden zu optimieren.;Transportation & Logistics;Postlogistics;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";"Java EE;#Web Services";Information Systems;"Eclipse;#Hibernate;#Java Enterprise Edition;#Java Standard Edition;#JSF;#JSP;#Linux;#Maven;#Oracle;#SOAP;#Hudson; Nexus; JAX-WS; Barcode4J;iText; Facelets; SoapUI";25.02.2010;;cha/fsc;pn_581_d_webservice-barcode_zrh.pdf;c12394;Martin, Elisabeth;09.12.2010 09:02;Item;services/bd/pn/Project Notes published
579;Agile Stabilisierung einer Legacy-Anwendung;ZÅhlke unterstÅtzt die Innovation Group bei der Stabilisierung einer geschÑftskritischen Legacy-Anwendung. Iteratives Re-Engineering und agile Weiterentwicklung sichern die Nutzung der Lîsung fÅr den Rest ihrer Lebenszeit.;Insurance;Innovation Group;Software Solutions;"Consulting;#_ Methodology;#__ Software Development Process;#__ Software-Testing;#__ Quality assurance;#Development;#_ Software solutions;#__ Development support;#Integration";".NET;#Agile Methods";Information Systems;"MS .NET Framework;#MS SQL;#UML;#Windows;#BPMN; Team Foundation Server";09.02.2010;;tor;pn_579_d_stabilisierung_anwendung_zrh.pdf;c12216;Martin, Elisabeth;17.06.2010 13:57;Item;services/bd/pn/Project Notes published
578;Das GebÑude in der Westentasche;LÑsst sich ein visionÑres Konzept in kurzer Zeit und mit einem neuen Entwicklerteam zu einem marktreifen Produkt fÅr die GebÑudeautomation formen? ZÅhlke macht dies mîglich und unterstÅtzt den Kunden bei der Entwicklung. ;Measuring, Steering & Control;mivune;Software Solutions;"Consulting;#_ Methodology;#__ Software Development Process;#__ Software-Testing;#Development;#_ Software solutions;#__ Bespoke Solutions;#__ Project management";Real-Time and Embedded Software;"Mobile Computing;#Rich Internet Applications;#Embedded Systems;#Control Systems";"Eclipse;#HTML;#J2SE;#Java Script;#Linux;#SOAP;#UML;#XML;#openArchitectureWare";17.12.2009;;ndu, dav;pn_578_d_gebaeudeautomation_zrh.pdf;C11718;Martin, Elisabeth;17.06.2010 13:59;Item;services/bd/pn/Project Notes published
577;Software Architektur Review   fÅr Verkehrssteuerung;Eine Echtzeit-Steuerungssoftware soll auf einer neuen Hardware-Plattform laufen. ZÅhlke unterstÅtzt den Kunden bei der Anpassung der Software Architektur und den Tests des sicherheitskritischen Systems. ;Transportation & Logistics;VR AG;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Expertise;#Development;#__ Development support";Real-Time and Embedded Software;Embedded Systems;"C++;#RTOS";08.03.2010;;dth;pn_577_d_realtime-assessment_zrh.pdf;c10349;Martin, Elisabeth;17.06.2010 14:00;Item;services/bd/pn/Project Notes published
575;ESB-Evaluation fÅr eine UniversitÑt;ZÅhlke unterstÅtzt das University College London mit einem systematischen Vorgehen bei der Auswahl einer Service-Orchestrierungsumgebung, die beim öbergang zu einer serviceorientierten Architektur helfen soll.  ;Others;UCL;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Expertise;#Development;#__ Development support";"BizTalk;#Java EE";Client Infrastructure;"C#;#Eclipse;#Java EE;#MS SQL;#Oracle;#SOAP;#Windows";18.12.2009;;zas;pn_575_d_esb-evaluation_zrh.pdf;;Martin, Elisabeth;17.06.2010 14:00;Item;services/bd/pn/Project Notes published
574;Immobilien-Portal steigt auf neue IT-Infrastruktur um;Der Erfolg fordert einen Immobilienanbieter heraus: Die wachsende Besucherzahl des Internetportals erfordert eine neue leistungsfÑhigere IT-Infrastruktur. ZÅhlke Åbernimmt die technische Projektleitung beim Umstieg.;Banking & Financial Services;PlanetHome;Software Solutions;"Consulting;#_ Methodology;#Development;#_ Software solutions;#__ Project management";"Java EE;#Web Services";Rich Internet Applications;"BEAWebLogic;#Eclipse;#JBoss; ITIL; Virtualisierung";21.01.2010;;jsi;pn_574_d_migration_immobilienportal_zrh.pdf;C11418;Martin, Elisabeth;17.06.2010 14:01;Item;services/bd/pn/Project Notes published
573;Schnellere Postverarbeitung mit neuer Softwarearchitektur;ZÅhlke unterstÅtzt einen gro·en Hersteller von Automatisierungssystemen bei der Entwicklung einer Produktplattform fÅr Postautomatisierung. Dank der verteilten Enterprise Java Architektur erreicht der Kunde eine hîhere Wirtschaftlichkeit.;Transportation & Logistics;Siemens;Software Solutions;"Development;#_ Software solutions;#__ Development support";Java EE;Automation Systems;"CORBA;#Eclipse;#Java Enterprise Edition;#JDBC;#JMS;#Oracle;#Patterns;#SessionBeans;#TogetherJ;#UML;#Windows;#XML;#JBoss; Spring; Java Servlet; JGroups";28.09.2010;;bvo;pn_573_d_postverarbeitung_zrh.pdf;C10464;Martin, Elisabeth;11.10.2010 12:29;Item;services/bd/pn/Project Notes published
572;CANopen Stack Portierung fÅr die Bahntechnik;Im Auftrag eines Herstellers von Kommunikationstechnik fÅr Schienenfahrzeuge portiert ZÅhlke den Open Source Stack CAN Festival auf ein FPGA-basiertes GerÑt. Der Kunde kann sich auf die Applikationsentwicklung konzentrieren.;Transportation & Logistics;Duagon;Product Innovation;"Development;#_ Product innovation;#__ Product development";;"Embedded Systems;#Control Systems;#Machine Control Systems";C++;07.12.2009;;aeg;pn_572_d_can-open-bahntechnik_zrh.pdf;C12416;Martin, Elisabeth;17.06.2010 14:51;Item;services/bd/pn/Project Notes published
570;Schrittweise aus dem Wasserfall zu Scrum;Mit viel Prozess-Know-how und FingerspitzengefÅhl unterstÅtzt ZÅhlke den Kunden auf seinem Weg zu einem ma·geschneiderten Entwicklungsprozess. Motivation und ProduktivitÑt des Teams steigen.;Telecommunications;Swisscom;Software Solutions;"Consulting;#_ Methodology;#__ Software Development Process";"Agile Methods;#Java EE";"Information Systems;#Rich Internet Applications";"CruiseControl;#Eclipse;#Java EE;#JSP;#Struts;#GWT; Agilo";30.11.2009;;"dob;cwi; fbe";pn_570_d_scrum-einfuehrung_zrh.pdf;C12154;Martin, Elisabeth;17.06.2010 14:52;Item;services/bd/pn/Project Notes published
